Timestamp, Subject, Verb, Complement
1745171597.109,Telemetry,Started,Manually
1745171597.146,Linear Velocity,0.0,0.0
1745171597.146,Linear Velocity Magnitude,0.0,
1745171597.146,Linear Acceleration,400.0,
1745171597.146,Linear Jerk,400.0,
1745171597.146,Angular Velocity,0.0,
1745171597.146,Angular Acceleration,2.0,
1745171597.146,Angular Jerk,2.0,
1745171597.358,Linear Velocity,257.158294677734,8.62554264068604
1745171597.358,Linear Velocity Magnitude,257.302917480469,
1745171597.358,Linear Acceleration,1200.0,
1745171597.358,Linear Jerk,400.0,
1745171597.358,Angular Velocity,0.8118731379509,
1745171597.358,Angular Acceleration,4.0,
1745171597.358,Angular Jerk,2.0,
1745171597.559,Linear Velocity,484.806793212891,54.8339538574219
1745171597.559,Linear Velocity Magnitude,487.897918701172,
1745171597.559,Linear Acceleration,1200.0,
1745171597.559,Linear Jerk,400.0,
1745171597.559,Angular Velocity,1.39417862892151,
1745171597.559,Angular Acceleration,4.0,
1745171597.559,Angular Jerk,2.0,
1745171597.775,Linear Velocity,701.375183105469,152.746597290039
1745171597.775,Linear Velocity Magnitude,717.815246582031,
1745171597.775,Linear Acceleration,1200.0,
1745171597.775,Linear Jerk,400.0,
1745171597.775,Angular Velocity,0.54771763086319,
1745171597.775,Angular Acceleration,4.0,
1745171597.775,Angular Jerk,2.0,
1745171597.976,Linear Velocity,863.875122070313,242.787719726563
1745171597.976,Linear Velocity Magnitude,897.343933105469,
1745171597.976,Linear Acceleration,1200.0,
1745171597.976,Linear Jerk,400.0,
1745171597.976,Angular Velocity,1.08114588260651,
1745171597.976,Angular Acceleration,4.0,
1745171597.976,Angular Jerk,2.0,
1745171598.191,Linear Velocity,986.058898925781,386.876922607422
1745171598.191,Linear Velocity Magnitude,1059.23840332031,
1745171598.191,Linear Acceleration,1200.0,
1745171598.191,Linear Jerk,400.0,
1745171598.191,Angular Velocity,3.22173070907593,
1745171598.191,Angular Acceleration,4.0,
1745171598.191,Angular Jerk,2.0,
1745171598.393,Linear Velocity,1010.74713134766,563.264282226563
1745171598.393,Linear Velocity Magnitude,1157.09826660156,
1745171598.393,Linear Acceleration,1200.0,
1745171598.393,Linear Jerk,400.0,
1745171598.393,Angular Velocity,3.33751606941223,
1745171598.393,Angular Acceleration,4.0,
1745171598.393,Angular Jerk,2.0,
1745171598.608,Linear Velocity,924.5322265625,751.368530273438
1745171598.608,Linear Velocity Magnitude,1191.34985351563,
1745171598.608,Linear Acceleration,1200.0,
1745171598.608,Linear Jerk,400.0,
1745171598.608,Angular Velocity,1.77038407325745,
1745171598.608,Angular Acceleration,0.0,
1745171598.608,Angular Jerk,2.0,
1745171598.823,Linear Velocity,792.678039550781,899.656921386719
1745171598.823,Linear Velocity Magnitude,1199.05004882813,
1745171598.823,Linear Acceleration,1200.0,
1745171598.823,Linear Jerk,400.0,
1745171598.823,Angular Velocity,1.5069991350174,
1745171598.823,Angular Acceleration,0.0,
1745171598.823,Angular Jerk,2.0,
1745171599.025,Linear Velocity,634.154479980469,1008.87432861328
1745171599.025,Linear Velocity Magnitude,1191.62890625,
1745171599.025,Linear Acceleration,1200.0,
1745171599.025,Linear Jerk,400.0,
1745171599.025,Angular Velocity,3.00966334342957,
1745171599.025,Angular Acceleration,0.0,
1745171599.025,Angular Jerk,2.0,
1745171599.226,Linear Velocity,435.766937255859,1062.91845703125
1745171599.226,Linear Velocity Magnitude,1148.77697753906,
1745171599.226,Linear Acceleration,1200.0,
1745171599.226,Linear Jerk,400.0,
1745171599.226,Angular Velocity,0.85217928886414,
1745171599.226,Angular Acceleration,0.0,
1745171599.226,Angular Jerk,2.0,
1745171599.442,Linear Velocity,228.864959716797,1080.4443359375
1745171599.442,Linear Velocity Magnitude,1104.41796875,
1745171599.442,Linear Acceleration,1200.0,
1745171599.442,Linear Jerk,400.0,
1745171599.442,Angular Velocity,2.41208934783936,
1745171599.442,Angular Acceleration,0.0,
1745171599.442,Angular Jerk,2.0,
1745171599.658,Linear Velocity,21.96604347229,1023.32989501953
1745171599.658,Linear Velocity Magnitude,1023.56561279297,
1745171599.658,Linear Acceleration,1200.0,
1745171599.658,Linear Jerk,400.0,
1745171599.658,Angular Velocity,0.34252595901489,
1745171599.658,Angular Acceleration,0.0,
1745171599.658,Angular Jerk,2.0,
1745171599.865,Linear Velocity,-162.778045654297,923.686157226563
1745171599.866,Linear Velocity Magnitude,937.91943359375,
1745171599.866,Linear Acceleration,1200.0,
1745171599.866,Linear Jerk,400.0,
1745171599.866,Angular Velocity,1.92462491989136,
1745171599.866,Angular Acceleration,0.0,
1745171599.866,Angular Jerk,2.0,
1745171599.999,Telemetry,Ended,Manually
